Time,u1,u2,u3,u4
2000-11-15 14:15,-1.17548,3.00529,-0.57822,-2.42058
2000-12-19 14:15,6.36736,0.0515,1.5223,-1.2135
2001-01-03 13:15,-37.82431,1.56429,-0.13003,15.12531
2001-01-31 14:15,2.89702,0.82188,1.01527,-1.36455
2001-03-20 14:15,5.50276,-5.51908,2.34978,-2.68166
2001-04-18 10:55,-45.97144,-2.50573,0.84228,4.20123
2001-05-15 14:15,-9.67375,-5.16654,1.7827,-0.35559
2001-06-27 14:12,9.93913,3.75776,-2.01008,-0.67598
2001-08-21 14:15,4.50464,-2.31632,2.44116,-2.33857
2001-10-02 14:15,-3.31119,-1.82161,2.92687,-1.52009
2001-11-06 14:20,-13.69808,-4.45647,0.72929,0.2193
2001-12-11 14:14,-0.74676,-6.17732,-0.03239,-0.56126
2002-01-30 14:15,1.74667,0.56289,-1.20706,-0.14866
2002-03-19 14:15,-3.35474,-1.24297,-0.79159,-2.3486
2002-05-07 14:15,0.56552,-1.64354,0.48195,-1.48866
2002-06-26 14:15,0.3927,0.81919,1.56212,-1.3498
2002-08-13 14:15,3.2721,-7.53638,0.96699,-3.84786
2002-09-24 14:15,1.75716,1.37637,0.30317,-3.63397
2002-11-06 14:14,-20.88234,6.84315,-1.25936,-3.21519
2002-12-10 14:15,-0.06317,2.028,0.51537,-0.60441
2003-01-29 14:16,0.81458,2.68572,0.19283,1.508
2003-03-18 14:15,2.2819,-0.49811,-0.35312,-1.79456
2003-05-06 14:13,1.54799,-9.22061,0.89915,-1.40112
2003-06-25 14:15,13.29566,1.34664,-0.24792,0.91633
2003-08-12 14:15,0.3647,-3.06553,-1.06506,-1.36309
2003-09-16 14:19,-0.52241,-0.80167,-0.56749,-0.00043
2003-10-28 14:15,-0.31907,-8.39853,-1.92906,-2.78374
2003-12-09 14:15,-0.31963,3.97377,5.59108,2.03737
2004-01-28 14:15,-0.10287,16.88202,5.40596,1.94475
2004-03-16 14:15,-0.05894,-5.39512,-1.76079,-2.10342
2004-05-04 14:15,-0.76666,-1.23521,1.47958,1.54483
2004-06-30 14:15,-0.68334,-1.48478,1.31273,1.03286
2004-08-10 14:15,1.42858,4.30038,-0.41379,-0.12354
2004-09-21 14:15,-0.01084,-0.44532,-2.10885,-0.5741
2004-11-10 14:15,0.0093,-2.90812,-0.62586,-0.4231
2004-12-14 14:15,0.00596,-0.78677,-0.87183,-0.16795
2005-02-02 14:15,-0.54662,-0.3538,-1.03436,-0.35682
2005-03-22 14:15,-0.01506,5.35373,5.72207,1.52052
2005-05-03 14:15,0.04906,2.28177,-0.80685,1.03735
2005-05-03 16:00,0.09149,-3.07626,-1.68703,0.70696
2005-06-30 14:15,-0.08763,5.40619,-1.32525,-0.73059
2005-08-09 14:15,0.03819,-1.91232,-0.95655,0.1532
2005-09-20 14:15,2.97832,1.14201,-1.30957,-0.36495
2005-11-01 14:15,0.05596,0.43953,-0.59898,0.87908
2005-12-13 14:15,0.11134,-3.68368,-0.82904,1.05975
2006-01-31 14:14,0.47063,2.84762,1.41169,0.21224
2006-03-28 14:15,0.38209,5.02679,1.75163,-0.80282
2006-05-10 14:15,-0.01688,4.78482,0.81356,0.63729
2006-06-29 14:15,-1.39262,-4.57019,0.21608,1.01321
2006-08-08 14:15,-4.12902,-0.32615,1.28677,-1.23757
2006-09-20 14:15,-0.0548,2.40733,0.24769,-0.44934
2006-10-25 14:15,-0.52924,0.68302,-1.31255,-0.56206
2006-12-12 14:15,-0.3698,-4.42189,-0.26974,-0.15065
2007-01-31 14:15,0.10736,-1.77644,-1.25595,1.24157
2007-03-21 14:15,-0.62158,-8.88066,-0.64312,0.91547
2007-05-09 14:15,-0.01517,3.7014,-0.16542,0.33584
2007-06-28 14:15,-0.05872,2.16742,0.11941,-0.57153
2007-08-07 14:15,0.38082,-0.7474,2.53177,-3.99522
2007-08-10 09:15,0.82443,4.01752,-0.10584,-3.90437
2007-08-17 08:15,3.59313,-6.53723,2.70787,3.72762
2007-09-18 14:15,-21.06773,-6.99158,3.26249,2.29395
2007-10-31 14:15,-2.5824,8.19167,-0.37946,-0.04431
2007-12-11 14:15,3.4115,-7.65845,2.76686,-8.27915
2008-01-30 14:15,-10.60892,-2.57077,2.23063,2.19445
2008-03-11 08:30,6.63326,1.80716,0.5098,7.3436
2008-03-18 14:15,9.35013,-0.17584,-0.7452,-3.16615
2008-04-30 14:15,-5.99467,0.00347,0.62485,0.18317
2008-06-25 14:15,-1.52448,-6.98797,2.38142,-1.16763
2008-08-05 14:15,-0.41548,-2.15907,1.55984,0.39565
2008-09-16 14:15,10.3812,6.48531,-1.3652,-0.19311
2008-10-29 14:17,-5.07609,3.17593,-1.73746,-4.99498
2008-11-25 08:15,-0.12267,-5.54846,-2.66797,4.74813
2008-12-16 14:15,-13.72484,-6.2388,-8.00115,1.36094
2009-01-28 14:15,-0.04188,-0.70167,1.89505,-0.49468
2009-03-18 14:15,-0.04651,0.35721,-29.86851,-0.52641
2009-04-29 14:15,-0.06423,-1.37719,4.08973,3.39676
2009-06-24 14:15,0.39415,3.21149,6.80671,-0.12214
2009-08-12 14:15,-0.05598,-1.1008,2.68156,-0.66485
2009-09-23 14:15,-0.67416,-8.06533,-1.50303,-0.33243
2009-11-04 14:15,-0.2623,-4.61585,4.21678,0.31197
2009-12-16 14:15,-1.81241,0.39118,2.62286,0.39963
2010-01-27 14:15,0.04856,4.20438,-0.20374,1.43721
2010-03-16 14:15,-0.49433,-3.5136,-0.54522,-0.29453
2010-04-28 14:15,0.044,-1.27793,0.96944,0.64891
2010-06-23 14:15,0.58142,-1.8083,-0.42444,0.94809
2010-08-10 14:15,0.49993,-0.80787,-6.17471,1.01671
2010-09-21 14:15,0.96782,-2.97512,-1.39161,1.46613
2010-11-03 14:15,0.77006,-0.24943,1.60611,-0.8042
2010-12-14 14:15,0.001,-1.6145,0.93036,-0.10374
2011-01-26 14:15,-0.02088,-2.66407,2.09688,-0.44661
2011-03-15 14:15,0.0839,1.1501,0.64411,1.63752
2011-04-27 12:30,0.02862,-2.07081,-0.73425,0.00785
2011-06-22 12:30,0.03942,0.71128,0.94118,0.89635
2011-08-09 14:15,-0.25578,-4.40522,0.2586,-4.7947
2011-09-21 14:15,1.53462,5.96221,-2.3919,-1.52486
2011-11-02 12:30,-0.02464,1.441,0.5173,-0.0804
2011-12-13 14:15,-0.19489,3.40878,-0.05013,-2.58503
2012-01-25 12:30,0.03929,-0.82453,-4.75189,-0.23946
2012-03-13 14:15,0.02389,-0.70373,2.91449,0.72092
2012-04-25 12:30,0.00346,-0.55153,1.462,0.19215
2012-06-20 12:30,0.36529,2.93351,-2.94275,-0.13248
2012-08-01 14:15,1.01675,1.18209,1.79462,0.21012
2012-09-13 12:30,1.51251,-2.28023,4.09065,3.29323
2012-10-24 14:15,-0.00495,-0.05505,-0.56135,-0.1756
2012-12-12 12:30,0.10272,-1.90036,1.30079,1.54306
2013-01-30 14:15,-0.02518,-0.08146,-0.57434,-0.50738
2013-03-20 14:00,0.02303,-0.51563,-0.37021,0.22862
2013-05-01 14:00,0.29845,-0.98478,0.95689,0.63792
2013-06-19 14:00,0.70371,-0.20642,4.60764,1.02967
2013-07-31 14:00,-0.02264,0.43858,-2.19181,-0.63223
2013-09-18 14:00,0.17056,-2.13712,-10.9872,0.69076
2013-10-30 14:00,-0.04627,0.25196,3.94214,-0.09201
2013-12-18 14:00,0.17281,-3.33691,-1.10523,2.06246
2014-01-29 14:00,0.40119,1.42483,-0.5497,-1.44143
2014-03-19 14:00,-0.00881,4.31266,2.64797,0.97413
2014-04-30 14:00,0.00859,-0.40936,0.83748,0.20101
2014-06-18 14:00,0.07993,0.01431,-0.54617,1.20333
2014-07-30 14:00,0.08653,-1.40305,-1.33751,0.95501
2014-09-17 14:00,0.08118,1.83746,0.61925,1.70228
2014-10-29 14:00,-0.04576,4.11408,1.03595,0.09745
2014-12-17 14:00,0.15149,-8.44424,0.65947,1.15762
2015-01-28 14:00,0.4296,-0.14142,-0.8725,-1.29082
2015-03-18 14:00,-0.0024,-10.71879,-2.12447,2.67201
2015-04-29 14:00,0.02206,-0.27667,-0.10306,0.2936
2015-06-17 14:00,-0.53525,-4.49225,-2.08724,-0.3868
2015-07-29 14:00,-0.48108,-1.19322,-0.55672,0.02291
2015-09-17 14:00,-5.79152,-2.38826,-0.66713,-0.85626
2015-10-28 14:00,-0.11878,6.26789,0.60305,-0.79181
2015-12-16 14:00,2.62227,-0.04309,-2.05279,0.3064
2016-01-27 14:00,-0.10678,-1.68746,-0.02686,-1.99771
2016-03-16 14:00,-1.54596,-6.90219,-2.00564,-1.37485
2016-04-27 14:00,0.06208,0.71049,-0.89167,0.97649
2016-06-15 14:00,-0.28605,-4.33862,0.38247,-1.23023
2016-07-27 14:00,-0.45557,0.29544,-1.28685,0.56345
2016-09-21 14:00,-4.14094,-2.10719,-1.27857,-0.12376
2016-11-02 14:00,-0.25272,0.64565,-0.38956,0.29102
2016-12-14 14:00,-0.46937,5.06193,3.18061,1.10601
2017-02-01 14:00,-0.23302,-2.98652,0.3449,-0.01712
2017-03-15 14:00,0.51524,-6.32179,-1.27722,-0.72961
2017-05-03 14:00,0.02085,0.70107,0.86514,0.58419
2017-06-14 14:00,1.88517,1.58743,-0.21843,0.38945
2017-07-26 14:00,-0.00716,-1.28138,-0.68794,-0.43143
2017-09-20 14:00,-0.00775,3.53825,1.34396,0.66251
2017-11-01 14:00,-0.23584,-0.03433,0.33589,0.41897
2017-12-13 14:00,0.00891,-1.2652,-0.48885,-0.13943
2018-01-31 14:00,-0.51889,0.7352,1.02014,-0.02545
2018-03-21 14:00,0.09103,-2.59584,1.885,1.33186
2018-05-02 14:00,-0.24288,-1.42224,-0.4491,0.08579
2018-06-13 14:00,-0.89525,3.82467,0.84336,0.54324
2018-08-01 14:00,0.00324,0.08582,-0.38302,0.00676
2018-09-26 14:00,1.05744,-1.41761,-0.14996,0.66874
2018-11-08 14:00,0.36908,0.17113,-0.0373,0.47388
2018-12-19 14:00,2.36388,2.83174,-0.69145,-3.16845
2019-01-30 14:00,0.16856,-5.30067,-0.65029,1.7434
2019-03-20 14:00,0.08566,-5.63446,-1.99282,0.14724
2019-05-01 14:00,-2.56578,-3.41208,0.17852,-0.25348
2019-06-19 14:00,6.18908,-9.75742,0.51438,-0.66251
2019-07-31 14:00,3.98834,1.12887,-1.35374,-0.21271
2019-09-18 14:00,3.38476,2.63154,0.75886,-0.30827
2019-10-11 11:00,-0.73316,-1.01316,0.06581,0.51741
2019-10-30 14:00,-1.21706,1.32738,-0.72646,0.63431
2019-12-11 14:00,0.03638,-1.09686,-0.1991,0.37491
2020-01-29 14:00,1.51281,-0.36116,-0.41781,0.08224
2020-03-03 10:00,-25.60297,2.77168,-0.94675,0.30715
2020-04-29 14:00,-3.054,1.73697,0.91939,-0.44195
2020-06-10 14:00,0.13294,-2.17832,-1.43979,1.55884
2020-07-29 14:00,0.51455,-0.48769,-0.57404,0.06533
2020-09-16 14:00,-0.4398,-1.37794,0.09455,1.33657
2020-11-05 14:00,0.00942,-0.42229,0.38059,0.14152
2020-12-16 14:00,-0.54706,0.00322,2.1755,-0.14583
2021-01-27 14:00,0.16985,0.91904,0.3896,-1.07848
2021-03-17 14:00,-0.44145,-2.32961,-1.4834,1.19933
2021-04-28 14:00,-0.49093,-0.22534,-0.16908,0.0828
2021-06-16 14:00,2.60693,0.99239,4.47521,-0.30312
2021-07-28 14:00,0.04972,-0.16114,0.2675,0.81488
2021-09-22 14:00,0.08864,-0.65828,-0.80808,1.19278
2021-11-03 14:00,0.06364,-0.25596,0.44559,1.05084
2021-12-15 14:00,-0.3231,1.02163,-0.73496,2.64117
2022-01-26 14:00,-1.04884,0.23037,1.81253,-0.46693
2022-03-16 14:00,-2.2151,12.32699,-1.05555,-0.52949
2022-05-04 14:00,-2.07359,-2.18528,0.25828,-1.35635
2022-06-13 15:15,8.13719,7.6713,-1.03857,0.69478
2022-06-15 14:00,4.50617,2.48028,-0.92702,0.36118
2022-07-27 14:00,-1.49404,0.69245,-0.11848,0.19074
2022-09-21 14:00,-3.64852,14.15849,-2.30285,-3.11619
2022-11-02 14:00,-0.13798,-8.61741,-0.49355,0.6053
2022-12-14 14:00,-0.24328,10.517,-0.29373,-2.23836
2023-02-01 14:00,-0.74031,1.74536,-0.4401,0.82348
2023-03-22 14:00,3.50106,-10.60763,2.55602,-0.42109
2023-05-03 14:00,1.42462,-0.67696,0.47328,0.61604
2023-06-14 14:00,-2.00207,13.59768,-1.12611,0.0058
2023-07-26 14:00,0.02107,0.45223,-0.67519,0.30819
2023-09-20 14:00,-0.7655,6.47827,-0.39773,0.74869
2023-11-01 14:00,-0.26106,-1.03961,0.33317,-0.15158
2023-12-13 14:00,-0.34065,-12.81928,-0.87457,-0.77912
2024-01-31 14:00,0.18267,1.62139,0.2989,-0.77145
2024-03-20 14:00,0.0568,-3.2787,1.7154,0.64316
2024-05-01 14:00,0.02115,-1.31576,-0.31292,0.07643
2024-06-12 14:00,0.00381,1.53629,-0.13808,0.2911
2024-07-31 14:00,0.29322,0.88461,-0.11764,0.82167
2024-09-18 14:00,-11.86398,-3.73544,1.5733,-0.1898
