date,resid,resid_romer,resid_full
1969,1.009535993883,1.011835321784019,1.097728180233389
1970,-2.265291768811,-2.268743551336229,-2.126110303215683
1971,-1.665894259587,-1.66208314569667,-1.644312705844641
1972,-.3279074341080001,-.5233697462826967,-.6356886569410563
1973,-.0133253337199998,-.0110385715961456,-.3185648992657661
1974,1.067360369223,1.069614131003618,.7939630225300789
1975,-1.321680119182,-1.325050689280033,-1.333409480750561
1976,-1.301109853961,-1.297653703019023,-1.377641959115863
1977,-.9865817106570001,-.9869918506592512,-1.241107456386089
1978,-.201361139496,-.2023660242557526,-.471098898909986
1979,.9255498172509998,.927399717271328,.8616578355431557
1980,1.054547658803,1.055101907812059,1.394286751747131
1981,-.442950037027,-.4402652233839035,-.488134041428566
1982,.6562739190420001,.655938845127821,.5404162704944611
1983,.3945428843539999,.3953303098678589,.3815801441669464
1984,-.0587469915889999,-.0606493577361107,-.1626633475534618
1985,.241570541171,.2391076851636171,.2785672079771757
1986,-.288383470149,-.2910380809116759,-.2219383381307125
1987,.1310507056990001,.1291717831045389,.3304473105818033
1988,.477417004437,.4752714373171329,.7267412785440683
1989,.401950775671,.3988476134836674,.4528494775295258
1990,.0515998459529999,.0469101089984179,.2224688977003098
1991,.259159679055,.258423525840044,.3520824322476983
1992,-.513794447357,-.5126328971236944,-.1933508715592325
1993,.328281517366,.3293145075440407,.4767484702169895
1994,1.653436082827,1.655486419796944,1.878484942018986
1995,.7611563923550001,.7622116338461637,1.002957073971629
1996,-.02640662145,-.0253193508833647,.2028712294995785
1997,,-.2685004395898432,.0168529958464205
1998,,-.807047862559557,-.467761654406786
1999,,-.3337092101573944,-.0127935707569122
2000,,.3383943978697062,.451290549710393
2001,,-1.825856675161049,-1.514142468571663
2002,,-.93256173748523,-.4888942607212812
2003,,-1.197324038483202,-.9016119414009154
2004,,.856001578271389,.8734622672200203
2005,,1.221310382708907,1.277276001870632
2006,,.8539088172838092,.9258290082216263
2007,,-1.19247260177508,-.9393363939598203
