date,resid,resid_romer,resid_full
1969m1,0,0,0
1969m2,0,0,0
1969m3,-.245265491711,-.2460489720106125,-.2274091392755508
1969m4,.404781589819,.4051327854394913,.4640214294195175
1969m5,.203939724169,.2047957181930542,.2091933786869049
1969m6,-.020204748722,-.0192539691925049,.0017039563972503
1969m7,.180706548136,.1806428283452988,.1771337985992432
1969m8,.309424110884,.3095272183418274,.2944437861442566
1969m9,.029007548687,.0291279368102551,.0127850659191608
1969m10,.087546234437,.087789049372077,.0981514770537615
1969m11,-.005086380895,-.0049107540398836,.0027563229668885
1969m12,.064686859079,.0650334805250168,.0649481043219566
1970m1,-.160187964934,-.1610540896654129,-.1300244331359863
1970m2,-.359948104218,-.3599597811698914,-.3495203852653503
1970m3,-.139500945743,-.1395493596792221,-.0949922427535057
1970m4,-.144678147388,-.1460990309715271,-.0886996611952782
1970m5,.300135547185,.2997611742466688,.2328358367085457
1970m6,-.179523424351,-.179574728012085,-.1701080054044724
1970m7,-.242591347252,-.2483571320772171,-.2334191352128983
1970m8,-.482564852309,-.4864543974399567,-.4531627893447876
1970m9,-.272409181531,-.2668679654598236,-.2390957027673721
1970m10,-.008899876088,-.0079875634983182,-.010198931209743
1970m11,-.346168273304,-.3451143503189087,-.3531646430492401
1970m12,-.228955198878,-.227486327290535,-.2365602105855942
1971m1,-.68154003302,-.6815528869628906,-.70183265209198
1971m2,-.024914804358,-.0253452565521002,-.0837600827217102
1971m3,-.065340602353,-.0652698948979378,-.1079094111919403
1971m4,.460579851451,.4598533809185028,.4120977222919464
1971m5,.00255522478,.0034078820608556,.0518529154360294
1971m6,.342963722337,.3444520905613899,.4130563735961914
1971m7,-.117032651367,-.1163607761263847,-.1003367304801941
1971m8,0,0,0
1971m9,0,0,0
1971m10,-.321616714473,-.3210939466953278,-.2967526316642761
1971m11,-.341615174304,-.340903103351593,-.34340900182724
1971m12,-.91993307828,-.9192706346511841,-.8873192071914673
1972m1,-.234178188521,-.2343051135540009,-.2668390274047852
1972m2,-.085532531995,-.0858996212482452,-.0865681171417236
1972m3,.251523445368,.2518545985221863,.229720875620842
1972m4,-.104209811357,-.1037611290812492,-.1318421065807343
1972m5,-.114926070918,-.114671103656292,-.1242365017533302
1972m6,-.049854126962,-.0500088706612587,-.0850517451763153
1972m7,0,0,0
1972m8,0,-.0913341045379639,-.0796954557299614
1972m9,0,-.0452420450747013,-.0320665836334229
1972m10,0,-.0606611743569374,-.0592428334057331
1972m11,.035804308254,.0365396216511726,.0179790686815977
1972m12,-.026534457977,-.0258808042854071,-.01784623041749
1973m1,.279469798692,.2793686091899872,.2784220278263092
1973m2,.225360840029,.2254958748817444,.2048452645540237
1973m3,.064438209735,.0638936534523964,.0453800559043884
1973m4,-.062870983575,-.0630089864134789,-.0839164182543755
1973m5,.316968397688,.3166996836662292,.2994650602340698
1973m6,.409372351387,.4090310335159302,.3659789860248566
1973m7,.115145981163,.115056149661541,.096848651766777
1973m8,.317612335745,.3188668489456177,.2575721740722656
1973m9,-.570746520243,-.5697882771492004,-.5932124853134155
1973m10,-.848026780844,-.8476724028587341,-.8662438988685608
1973m11,-.094972367953,-.09438207000494,-.1115496158599854
1973m12,-.165076595544,-.1645986884832382,-.2121547013521194
1974m1,-.206405144292,-.2052900940179825,-.2135032564401627
1974m2,.201200509526,.2016953825950623,.1956480443477631
1974m3,.732860238238,.7338662147521973,.7497216463088989
1974m4,.386790922662,.3861840665340424,.4012906849384308
1974m5,.391730702509,.3912922143936157,.3507099151611328
1974m6,.279711176867,.2792143225669861,.2393453270196915
1974m7,-.091264056371,-.0903007090091705,-.1275941580533981
1974m8,-.021514542533,-.0207907371222973,-.0531200543045998
1974m9,-.429737763761,-.4298415780067444,-.4414829909801483
1974m10,-.28397470926,-.2838742136955261,-.3193619549274445
1974m11,.336476070636,.3363716602325439,.2728619277477264
1974m12,-.228513034998,-.2289123982191086,-.2605521082878113
1975m1,-.353862116151,-.3540568351745605,-.3802447319030762
1975m2,.242914555167,.241667777299881,.2094884067773819
1975m3,-.498506151404,-.4983970522880554,-.4335574805736542
1975m4,-.637170639803,-.6378188729286194,-.5669918656349182
1975m5,.135583607454,.1347648799419403,.1362858265638351
1975m6,.170421746173,.1701880693435669,.1874675899744034
1975m7,.069957599522,.0708185732364655,.0446043089032173
1975m8,-.136455159546,-.1353807002305984,-.1320801079273224
1975m9,-.113757039099,-.1138292476534843,-.1054902076721191
1975m10,-.199738131096,-.2009930610656738,-.2028906643390656
1975m11,-.281410917856,-.281593382358551,-.3223196268081665
1975m12,.280342527457,.2795791625976563,.2323190718889236
1976m1,-.090654503429,-.090426467359066,-.0951562374830246
1976m2,-.469121453012,-.4688205718994141,-.4551599025726318
1976m3,-.238927196634,-.2390092015266418,-.2647180259227753
1976m4,.138867693766,.1382964104413986,.1366820782423019
1976m5,-.297638667005,-.2974087595939636,-.2538108825683594
1976m6,-.037513364313,-.0382077731192112,-.028138779103756
1976m7,-.139103031513,-.1386865824460983,-.1471974700689316
1976m8,-.04382511765,-.0434603542089462,-.051561277359724
1976m9,.018862083086,.0195210333913565,-.0067402897402644
1976m10,-.041394100404,-.0407374165952206,-.0879776477813721
1976m11,.030113032562,.0310469307005405,-.0026019504293799
1976m12,-.130775229415,-.1297609508037567,-.1212615743279457
1977m1,-.096514114709,-.0969496220350266,-.1196968853473663
1977m2,-.08471272,-.0840298533439636,-.1280050426721573
1977m3,-.228217993618,-.2277962863445282,-.23203244805336
1977m4,-.048979031407,-.0499260723590851,-.0844870954751968
