frequency,variable,nonmissing,mean,sd,min,max
monthly,jk_pc1_hf,434,-0.009684521129032259,0.05840739292878239,-0.41762637,0.2433427
monthly,jk_SP500_hf,430,0.024004162790697666,0.45036172609431385,-1.76769,3.99301
monthly,jk_MP_pm,434,-0.007503181520737327,0.05522575724547132,-0.41762637,0.2433427
monthly,jk_CBI_pm,434,-0.0015398536635944703,0.015268232357368149,-0.10810874,0.10474734
monthly,jk_MP_median,434,-0.005950634032258065,0.04918659412453862,-0.34731509,0.1561151
monthly,jk_CBI_median,434,-0.0030924011520737328,0.025181139632537042,-0.11955367,0.13873239
monthly,ident_bp_u1,405,-0.7405889382716049,5.415947817482642,-45.97144,16.31941
monthly,ident_bp_u2,405,-0.030808987654320972,3.5802368912135747,-17.11541,16.88202
monthly,ident_bp_u3,405,-0.07357977777777774,2.2501538509854493,-29.86851,6.80671
monthly,ident_bp_u4,405,0.015543358024691352,1.351129809122933,-8.27915,13.760760000000001
monthly,ident_bp_event_count,405,0.7333333333333333,0.5611162848719617,0.0,4.0
monthly,ident_s_u1,405,-0.11288212345679012,0.8255085989332909,-7.00705,2.48743
monthly,ident_s_u2,405,-0.007293827160493824,0.8476020971373905,-4.05198,3.99673
monthly,ident_s_u3,405,-0.02789859259259259,0.853163460516588,-11.32488,2.58082
monthly,ident_s_u4,405,0.009130888888888886,0.7937252633040781,-4.86361,8.0838
monthly,ident_s_event_count,405,0.7333333333333333,0.5611162848719617,0.0,4.0
monthly,mps_STMT,387,-8.462940368589695e-18,0.03256341991536112,-0.2646161710354207,0.095464042297081
monthly,mps_PC,213,-2.2803876679507325e-18,0.0192681876764911,-0.1368594720885227,0.0898065179340842
monthly,mps_ME,387,-7.171983363211605e-18,0.03590668069755043,-0.2828643561706026,0.1037107200145419
monthly,mps_event_count,387,0.7131782945736435,0.5462135101758647,0.0,5.0
monthly,mps_minutes_MIN,256,-1.0842021724855044e-18,0.013386364861447321,-0.0571507313853403,0.0522123509716426
monthly,mps_minutes_event_count,256,0.66796875,0.47186465220442186,0.0,1.0
monthly,bs_m_MPS,431,-3.992681411064948e-18,0.056863830824564185,-0.4189830256554514,0.1925530633382949
monthly,bs_m_MPS_ORTH_x,431,-4.3790699347163945e-18,0.051862639068587194,-0.3779554215971662,0.1864789411129545
monthly,bs_m_NFP_SURP,300,0.024776666666666666,0.5967839912645566,-0.601,10.009
monthly,bs_m_NFP_12M,300,0.011631288507387752,0.022829066225793115,-0.1242430494642246,0.08638730978064757
monthly,bs_m_SP500_3M,300,0.018706842899715696,0.07108875660861462,-0.36540972516727255,0.16681783350692125
monthly,bs_m_SLOPE_3M,300,-0.04730000000000001,0.48882739018113985,-1.68,1.88
monthly,bs_m_BCOM_3M,300,0.011988264682041333,0.07776486452293037,-0.3787017492892746,0.23134495552148326
monthly,bs_m_TR_SKEW,300,0.12137826420289854,0.28719022929178223,-0.7765854347826088,0.7861597826086957
monthly,bs_fomc_Unscheduled,431,0.15777262180974477,0.5931223288800843,0.0,5.0
monthly,bs_fomc_FF1,243,-0.0015164609053497943,0.02223874347596991,-0.33949999999999997,0.023
monthly,bs_fomc_FF2,243,-0.001695473251028807,0.02014107938014799,-0.2805,0.0525
monthly,bs_fomc_ED1,431,-0.008330046403712297,0.058825092798809236,-0.56875,0.1825
monthly,bs_fomc_ED2,431,-0.008277262180974477,0.057617970330835676,-0.4425,0.17500000000000002
monthly,bs_fomc_ED3,431,-0.006676334106728539,0.057444768187463004,-0.3775,0.1775
monthly,bs_fomc_ED4,431,-0.006972389791183366,0.058955124467851124,-0.36,0.2425
monthly,bs_fomc_SP500,398,0.015020222062466669,0.5523107003275243,-5.6407,3.8105700000000002
monthly,bs_fomc_SP500 emini,345,0.03968389739130435,0.6014751753544856,-3.766,5.39566
monthly,bs_fomc_TNOTE02,403,-0.005539909456706173,0.047398519145541704,-0.2956698664440735,0.20491709250182502
monthly,bs_fomc_TNOTE05,426,-0.0038864171729533627,0.04490625699333562,-0.32853475523796943,0.2351162948090329
monthly,bs_fomc_TNOTE10,431,-0.0020887238012215854,0.034924868151847935,-0.29574281049855583,0.16362148546879596
monthly,bs_fomc_TBOND,431,-8.862651552118947e-05,0.030456917311798816,-0.31741161596694367,0.13800831492789398
monthly,bs_fomc_MPS,430,-1.290957005378089e-19,0.056929917692805,-0.4189718592418902,0.19255333564661636
