date,IPP_qi,HT_qi,EQP_qi,NRS_qi,RI_qi,D_qi,GDP,IPP_nom,HT_nom,EQP_nom,NRS_nom,RI_nom,D_nom,GDP_nom,DGS1_Q,NHT_qi,NHT_nom,Intangible_qi,Tangible_qi,TI_qi,lTI,lTangible,lIntangible,lIPP,lHT,lNHT,lNRS,lRI,lD,lGDP,Intangible_nom,Tangible_nom,TI_nom,share_TI_IPP,share_GDP_IPP,share_TI_HT,share_GDP_HT,share_TI_NHT,share_GDP_NHT,share_TI_NRS,share_GDP_NRS,share_TI_RI,share_GDP_RI,share_TI_D,share_GDP_D,share_TI_Intangible,share_GDP_Intangible,share_TI_Tangible,share_GDP_Tangible,RR
1950-01-01,1.002,0.061,3.188,4.514,28.731,3.769,2346.104,2.181,1.607,15.13,,18.339,29.335,280.828,,90.20955024782238,13.523000000000001,93.472308847487,94.71942270770298,94.64627342710334,455.01465047418594,455.09190763927035,453.7665230371036,0.1998002662673058,-279.68814148088256,450.21353000427985,150.7183678395344,335.7976679207592,132.68097142849984,776.0511359006629,3.7880000000000003,,,,0.007766319597760908,,0.005722363866850884,,0.04815403022490636,,,,0.06530331733302946,,0.10445895708405147,,0.013488683464611793,,,
1950-04-01,1.018,0.07,3.547,4.89,31.485,3.801,2417.682,2.239,1.822,17.114,,20.603,29.799,290.383,,100.0,15.292000000000002,100.0,100.0,100.0,460.51701859880916,460.51701859880916,460.51701859880916,1.7839918128331016,-265.9260036932778,460.51701859880916,158.71923034867805,344.9511241940706,133.52641900071117,779.0564508878417,4.061,,,,0.007710506469042609,,0.006274471990440213,,0.05266148500428745,,,,0.07095112317181103,,0.10261964371192529,,0.013984978459482822,,,
1950-07-01,1.022,0.071,3.927,5.296,33.204,4.702,2511.127,2.298,1.878,19.343,,22.555,37.355,308.153,,111.87473093360197,17.465,100.85626292564933,114.94501184194334,114.07332119612654,473.68414100374264,474.44538561131645,461.3696363866648,2.176149178151271,-264.5075401940822,471.7379771529352,166.6951818634707,350.2670350592789,154.79879501178777,782.8486935337768,4.176,,,,0.007457334505911024,,0.006094375196736685,,0.056676391273166246,,,,0.0731941600438743,,0.12122224998620813,,0.013551709702647711,,,
1950-10-01,1.012,0.076,3.867,5.288,31.657,4.12,2559.214,2.328,2.056,19.609,,21.478,33.292,319.945,,109.181284410875,17.553,103.42947036615395,105.76856047025773,105.55070254341527,465.9191430296956,466.1253315246945,463.88899346780994,1.1928570865273813,-257.70219386958064,469.3009660443372,166.5440102549385,345.49592931722543,141.5853163361435,784.7455459079864,4.384,,,,0.007276250605572833,,0.006426104486708654,,0.05486255450155496,,,,0.06713028801825315,,0.10405538451921424,,0.013702355092281487,,,
1951-01-01,0.984,0.071,3.703,5.15,30.019,4.25,2593.967,2.289,1.979,19.383,,21.057,35.638,336.0,,104.85402703576727,17.404,98.69901466866676,104.58088579175015,104.15380649005331,464.58687151913296,464.9960798715988,459.20749632960553,-1.6129381929883644,-264.5075401940822,465.2569164199955,163.89967146756447,340.18305145245716,144.69189829363253,786.0943643130087,4.268000000000001,,,,0.006812500000000001,,0.005889880952380953,,0.05179761904761905,,,,0.06266964285714285,,0.10606547619047618,,0.012702380952380955,,,
1951-04-01,0.974,0.075,3.709,5.212,26.008,3.64,2638.898,2.301,2.106,19.672,,18.467,30.735,344.09,,104.39064240769193,17.566000000000003,100.68636267591357,93.09739272804264,93.40776726173078,453.6974503037592,453.3646178821512,461.2010365289671,-2.6343975339601977,-259.02671654458265,464.81400393211106,165.09636592625986,325.8404183001604,129.19836816486495,787.8116684752187,4.407,,,,0.006687203929204569,,0.006120491731814351,,0.05105059722746957,,,,0.05366909820105205,,0.08932256095788893,,0.012807695661018921,,,
1951-07-01,0.993,0.08,3.789,5.273,24.367,3.574,2693.259,2.365,2.251,20.198,,17.398,30.193,351.385,,106.09137510203131,17.947,104.89280061886979,91.05361476539024,91.71495625268301,451.8685465774247,451.1448506268482,465.2938882149711,-0.7024614936964466,-252.57286443082558,466.43007520426727,166.25994605483328,319.3229757884615,127.36854167372363,789.8507263456271,4.616,,,,0.00673050927045833,,0.00640607880245315,,0.05107503166042944,,,,0.04951264282766766,,0.08592569403930163,,0.013136588072911478,,,
1951-10-01,1.034,0.081,3.752,5.186,24.601,3.563,2699.156,2.482,2.261,20.242,,17.723,30.391,356.178,,104.76280046361065,17.981,107.74055266496656,90.84135074174452,91.67664504895573,451.8267658153694,450.9114586586787,467.9726046856519,3.343477608623742,-251.3306124309698,465.1698751466354,164.59626871164724,320.2787092518616,127.06028866236991,790.069441053258,4.743,,,,0.006968425899409846,,0.006347949620695271,,0.050483185373605334,,,,0.049758828450943066,,0.08532531487065456,,0.013316375520105117,,,
1952-01-01,1.122,0.085,3.773,5.236,25.246,3.583,2727.954,2.684,2.399,20.418,,18.269,30.776,359.82,,104.78607299644781,18.019,115.05911254540466,91.71523984209558,92.90717885554507,453.16009179208265,451.8688557843259,474.54460184330804,11.511280710050467,-246.51040224918205,465.1920871800848,165.55578480476532,322.86677273306697,127.62004383228167,791.1307156651096,5.083,,,,0.007459285198154634,,0.0066672225001389585,,0.05007781668612084,,,,0.05077260852648546,,0.08553165471624702,,0.014126507698293591,,,
1952-04-01,1.2,0.095,3.825,5.319,25.714,3.653,2733.8,2.869,2.641,20.821,,18.763,31.007,361.03,,104.85967310228905,18.18,125.6410728795193,93.01491542713435,94.71568018339022,455.0879563923724,453.2759861230537,483.34292139488485,18.232155679395458,-235.38783873815962,465.26230096713704,167.12853157601805,324.7035590662057,129.55487478131457,791.3447861718553,5.51,,,,0.007946708029803618,,0.00731518156385896,,0.05035592610032408,,,,0.05197075035315626,,0.08588482951555274,,0.015261889593662576,,,
